investment_id,investor_name,limited_partnter_name,commitments
957,Nexit Ventures,Mandatum Life,2.0
958,Nexit Ventures,Nexit Ventures (Guernsey),1.0
959,Nexit Ventures,NGP Capital,1.0
960,Nexit Ventures,Novitas Capital,1.0
961,Nexit Ventures,Partners Group,1.0
962,Nexit Ventures,Pension Fennia,1.0
963,Nexit Ventures,Pohjola Insurance,1.0
964,Nexit Ventures,Risto Siilasmaa,1.0
965,Nexit Ventures,Sampo,2.0
966,Nexit Ventures,Seligman Private Equity Select	,1.0
967,Nexit Ventures,Tesi,3.0
968,Nexit Ventures,Veritas Pension Insurance	,1.0
969,Nexit Ventures,Vertex International Partners	,1.0
970,NextEquity Partners,Retirement System of the American National Red Cross	,1.0
971,North Island Ventures,Paul Jones,1.0
972,Omidyar Network,U.S. Agency for International Development,
973,Operator Collective,Christina Kosmowski,1.0
974,Operator Collective,Claire Johnson,1.0
975,Operator Collective,GingerBread Capital,1.0
976,Operator Collective,Kapor Capital,1.0
977,Operator Collective,Lexi Reese,1.0
978,Operator Collective,Li Fan,1.0
979,Operator Collective,Michigan State University Foundation	,1.0
980,Operator Collective,The Perkins Fund,1.0
981,Operator Collective,University of Minnesota Foundation,1.0
982,Operator Collective,W. K. Kellogg Foundation	,1.0
983,Oregon Venture Fund,Allen Alley,
984,Oregon Venture Fund,Drew Bernard,
985,Oregon Venture Fund,Meketa Investment Group,9.0
986,Oregon Venture Fund,Oregon Growth Account,1.0
987,Panache Ventures,Alberta Enterprise,1.0
988,Panache Ventures,Dakwakada Capital Investments	,
989,Panache Ventures,Fonds de solidarit¨¦ FTQ,1.0
990,Panache Ventures,Investissement Qu¨¦bec	,1.0
991,Panache Ventures,Kensington Capital Partners,1.0
992,Panache Ventures,National Bank of Canada,1.0
993,Panache Ventures,TELUS Ventures,1.0
994,Pangaea Ventures,9th Street Capital,1.0
995,Pangaea Ventures,AGC (Tokyo),2.0
996,Pangaea Ventures,Asahi Kasei Innovation Partners	,1.0
997,Pangaea Ventures,BASF Venture Capital,2.0
998,Pangaea Ventures,Bekaert Group	,2.0
999,Pangaea Ventures,Castrol InnoVentures,1.0
1000,Pangaea Ventures,CoorsTek,1.0
1001,Pangaea Ventures,Doosan Heavy Industries & Construction Company	,1.0
1002,Pangaea Ventures,Evonik Venture Capital	,1.0
1003,Pangaea Ventures,Henkel,1.0
1004,Pangaea Ventures,Henkel Corporation Master Retirement Trust,
1005,Pangaea Ventures,Henkel Tech Ventures	,2.0
1006,Pangaea Ventures,JSR,1.0
1007,Pangaea Ventures,Kensington Capital Partners	,1.0
1008,Pangaea Ventures,Lam Research,1.0
1009,Pangaea Ventures,Mitsubishi Chemical Holdings	,1.0
1010,Pangaea Ventures,Mitsubishi International,1.0
1011,Pangaea Ventures,Murata,1.0
1012,Pangaea Ventures,Nitto Denko,1.0
1013,Pangaea Ventures,SABIC Ventures,1.0
1014,Pangaea Ventures,Samsung Venture Investment	,1.0
1015,Pangaea Ventures,Sekisui Chemical	,1.0
1016,Pangaea Ventures,Severstal,1.0
1017,Pangaea Ventures,Solvay Ventures,1.0
1018,Pangaea Ventures,Toyota Tsusho America	 ,2.0
1019,Pangaea Ventures,Umicore,1.0
1020,Pangea Blockchain Fund,George Kaiser Family Foundation,1.0
1021,Parliament Capital Management,United Surety & Indemnity Company	,1.0
1022,Pender Ventures,Export Development Canada,1.0
1023,Pender Ventures,Vancity Credit Union	,1.0
1024,Phoenix Venture Partners,3M,2.0
1025,Phoenix Venture Partners,Corning Pension Plan,3.0
1026,Phoenix Venture Partners,Eastman Chemical Company,1.0
1027,Phoenix Venture Partners,LG Chem,1.0
1028,Phoenix Venture Partners,New Mexico State Investment Council,1.0
1029,Phoenix Venture Partners,Nissan Employee Retirement Plan,1.0
1030,Phoenix Venture Partners,Oregon Growth Account,1.0
1031,Phoenix Venture Partners,Pfizer,3.0
1032,Phoenix Venture Partners,Showa Denko,2.0
1033,Phoenix Venture Partners,Solvay Ventures,2.0
1034,Phoenix Venture Partners,W. L. Gore and Associates,2.0
1035,Pine Street Alternative Asset Management,New York State Common Retirement Fund,1.0
1036,Plexo Capital,Alphabet,1.0
1037,Plexo Capital,Cisco Investments,1.0
1038,Plexo Capital,Hampton University Endowment,1.0
1039,Plexo Capital,Intel Capital,1.0
1040,Plexo Capital,Kapor Capital,1.0
1041,Plexo Capital,Royal Bank of Canada Trustees,1.0
1042,Plexo Capital,The Ford Family Foundation,1.0
1043,Plymouth Growth,Auto-Owners Insurance Company	,3.0
1044,Plymouth Growth,Renaissance Venture Capital	,3.0
1045,Quest Ventures,Pavilion Capital Partners	,1.0
1046,Quest Ventures,QazTech Ventures	,1.0
1047,Race Capital,HTC,1.0
1048,Rainmaking (UK),Hamburger Hafen	,1.0
1049,Rainmaking (UK),Wilhelmsen Group,1.0
1050,Red River West,Urania Ventures,
1051,rocketship.vc,Adams Street Partners	,1.0
1052,rocketship.vc,Andreessen Horowitz	,1.0
1053,rocketship.vc,Cercano Management	,1.0
1054,rocketship.vc,Christopher Dixon	,1.0
1055,rocketship.vc,Marc Andreessen (family office),1.0
1056,rocketship.vc,Sea Purity Investments	,
1057,Root Ventures,Cendana Capital,
1058,Root Ventures,Vijay Sharma,
1059,Schultze Asset Management,New York State Common Retirement Fund	,1.0
1060,Science,Michigan Department of Treasury	,2.0
1061,SeaChange Fund,Mike Stevens,
1062,Seedlnvest,John Ryu,
1063,Seedlnvest,Kevin Weeks,
1064,SeventySix Capital,Arthur M. Blank Family Foundation,1.0
1065,SeventySix Capital,Robert Nutting,1.0
1066,SeventySix Capital,The Belk Foundation,1.0
1067,SeventySix Capital,Wilbur And Hilda Glenn Family Foundation,1.0
1068,Sigma Prime Ventures,Adams Street Partners	,6.0
1069,Sigma Prime Ventures,Agilent Technologies Deferred Profit-Sharing Plan,4.0
1070,Sigma Prime Ventures,Agilent Technologies Retirement Plan,4.0
1071,Sigma Prime Ventures,AllianceBernstein,2.0
1072,Sigma Prime Ventures,Ari Buchler,1.0
1073,Sigma Prime Ventures,Bank of America,3.0
1074,Sigma Prime Ventures,Baxter International,4.0
1075,Sigma Prime Ventures,Baxter International And Subsidiaries Pension Master Trust	,2.0
1076,Sigma Prime Ventures,Baxter International And Subsidiaries Pension Plan,4.0
1077,Sigma Prime Ventures,Baxter International and Subsidiaries Pension Trust General Trust Account,5.0
1078,Sigma Prime Ventures,Boston University Endowment	,1.0
1079,Sigma Prime Ventures,Cintrifuse,1.0
1080,Sigma Prime Ventures,Conversus Capital,3.0
1081,Sigma Prime Ventures,Employers Insurance Company of Wausau,3.0
1082,Sigma Prime Ventures,Equitable Financial Life Insurance Company,4.0
1083,Sigma Prime Ventures,Ford Foundation,2.0
1084,Sigma Prime Ventures,General Mills Group Trust - Pooled Private Equity Fund,3.0
1085,Sigma Prime Ventures,Goldman Sachs Asset Management,1.0
1086,Sigma Prime Ventures,Government of Singapore Investment Corporation (GIC),1.0
1087,Sigma Prime Ventures,Grable Foundation,3.0
1088,Sigma Prime Ventures,HarbourVest Partners,1.0
1089,Sigma Prime Ventures,Harvard Management Company,2.0
1090,Sigma Prime Ventures,HP Deferred Profit-Sharing Plan,4.0
1091,Sigma Prime Ventures,HP Inc. Master Trust,2.0
1092,Sigma Prime Ventures,HP Pension Plan,4.0
1093,Sigma Prime Ventures,Industriens Pensionsforsikring,1.0
1094,Sigma Prime Ventures,Johnson & Johnson 401(K) Profit Sharing Plan and Trust,1.0
1095,Sigma Prime Ventures,J. Paul Getty Trust,2.0
1096,Sigma Prime Ventures,Knightsbridge Advisers	,3.0
1097,Sigma Prime Ventures,Liberty Mutual Fire Insurance Company,3.0
1098,Sigma Prime Ventures,Liberty Mutual Insurance Company,3.0
1099,Sigma Prime Ventures,Liberty Mutual Retirement Benefit Plan,3.0
1100,Sigma Prime Ventures,Lincoln Life Assurance Company of Boston	,3.0
1101,Sigma Prime Ventures,Lucent Technologies Master Pension Trust,1.0
1102,Sigma Prime Ventures,Lucent Technologies Pension Plan	,1.0
1103,Sigma Prime Ventures,Massachusetts Institute of Technology Long-Term Disability Plan,1.0
1104,Sigma Prime Ventures,Metlife Investors USA Insurance Company,1.0
1105,Sigma Prime Ventures,Metropolitan Life Insurance Company	,1.0
1106,Sigma Prime Ventures,MIT Basic Retirement Plan,1.0
1107,Sigma Prime Ventures,MIT Investment Management Company,3.0
1108,Sigma Prime Ventures,MIT Retiree Welfare Benefit Trust	,1.0
1109,Sigma Prime Ventures,MONY Life Insurance Company,4.0
1110,Sigma Prime Ventures,Nassau Life Insurance Company	,2.0
1111,Sigma Prime Ventures,Partners Healthcare Master Trust For ERISA Assets,2.0
1112,Sigma Prime Ventures,Peerless Insurance Company	,3.0
1113,Sigma Prime Ventures,Penn Insurance and Annuity Company	,1.0
1114,Sigma Prime Ventures,Pension Plan For Employees of Givaudan	,1.0
1115,Sigma Prime Ventures,Princeton University Investment Company,2.0
1116,Sigma Prime Ventures,Reynolds American Defined Benefit Master Trust	,1.0
1117,Sigma Prime Ventures,Rockefeller Foundation	,2.0
1118,Sigma Prime Ventures,SBC Master Pension Trust	,1.0
1119,Sigma Prime Ventures,Stanford Management Company	,3.0
1120,Sigma Prime Ventures,Surdna Foundation	,1.0
1121,Sigma Prime Ventures,The General Mills Retiree Health Plan for Union Employees	,1.0
1122,Sigma Prime Ventures,The Glenmede Trust Company	,2.0
1123,Sigma Prime Ventures,The Penn Mutual Life Insurance Company	,7.0
1124,Sigma Prime Ventures,The Phoenix Companies Employee Pension Plan,4.0
1125,Sigma Prime Ventures,The Roche Retirement Plan	,5.0
1126,Sigma Prime Ventures,U.A. Local 467 Defined Benefit Plan,2.0
1127,Sigma Prime Ventures,University of Southern California Endowment,1.0
1128,Sigma Prime Ventures,William H. Hannon Foundation,
1129,Sigma Prime Ventures,Yale University Endowment	,3.0
1130,Signia Venture Partners,Southern California IBEW-NECA Pension Trust Fund	,1.0
1131,Signia Venture Partners,The Walt Disney Company Retirement Plan Master Trust	,3.0
1132,Silver 8 Capital,Proaltus Capital Partners,
1133,Silver 8 Capital,SquareOne Capital,
1134,Sixty8 Capital,50 South Capital Advisors,1.0
1135,Sixty8 Capital,Bank of America,1.0
1136,Sixty8 Capital,Central Indiana Community Foundation	,1.0
1137,Sixty8 Capital,Eli Lilly and Company Foundation	,1.0
1138,Sixty8 Capital,Next Level Indiana Trust Fund,1.0
1139,SK Ventures,Foundry Group,
1140,SLM Partners,Armonia,
1141,SLM Partners,European Investment Bank,1.0
1142,SLM Partners,Institutional Investment Partners Denmark	,1.0
1143,SoGal Ventures,Consumer Technology Association,
1144,SoGal Ventures,ImpactAssets,2.0
1145,SoGal Ventures,Martin Hauge,1.0
1146,SoGal Ventures,Viralety Ventures,
1147,Source Capital,Eye Consultants of Atlanta Profit Sharing Plan and Trust,2.0
1148,Source Capital,George B. Storer Foundation	,2.0
1149,SparkLabs Group,Korea Development Bank,1.0
1150,SparkLabs Group,SeAH Group,1.0
1151,Spider Capital,Cendana Capital,1.0
1152,Spider Capital,Foundry Group,1.0
1153,Spider Capital,LYVC,
1154,StarVest Partners,Arnhold Foundation,1.0
1155,StarVest Partners,Caisse de d¨¦p?t et placement du Qu¨¦bec,1.0
1156,StarVest Partners,California Public Employees' Retirement System	,1.0
1157,StarVest Partners,GCM Grosvenor Private Markets,
1158,StarVest Partners,Guardian Life Insurance Company of America,1.0
1159,StarVest Partners,Invesco,1.0
1160,StarVest Partners,Los Angeles City Employees' Retirement System,1.0
1161,StarVest Partners,New York City Board of Education Retirement System,1.0
1162,StarVest Partners,New York City Employees' Retirement System,1.0
1163,StarVest Partners,New York City Public Pension Funds,1.0
1164,StarVest Partners,North Carolina Retirement Systems,1.0
1165,StarVest Partners,Pennsylvania Public School Employees Retirement System	,2.0
1166,StarVest Partners,Square 1 Ventures,1.0
1167,StarVest Partners,Teachers' Retirement System of the City of New York	,1.0
1168,StarVest Partners,Teachers Retirement System of the State of Illinois	,1.0
1169,StarVest Partners,The Fan Fox and Leslie R. Samuels Foundation	,1.0
1170,StarVest Partners,The Institute for Aegean Prehistory	,1.0
1171,Stillwater Asset Management,New York State Common Retirement Fund,2.0
1172,Strandview,Sea Purity Investments	,
1173,Stray Dog Capital,ImpactAssets,1.0
1174,Streamlined Ventures,BluePointe Ventures	,
1175,Streamlined Ventures,Partner Ventures	,
1176,Streamlined Ventures,Passport Foundation	,1.0
1177,Streamlined Ventures,Samir Kaji,
1178,SunBridge Partners,The Ohio Capital Fund,1.0
1179,TCP Venture Capital,The Aaron Straus & Lillie Straus Foundation	,2.0
1180,Team8,Accenture,
1181,Team8,Airbus,1.0
1182,Team8,AT&T,
1183,Team8,Bessemer Venture Partners,1.0
1184,Team8,Cisco Systems,1.0
1185,Team8,Dimension Data,
1186,Team8,Innovation Endeavors,1.0
1187,Team8,M12,2.0
1188,Team8,Marker,1.0
1189,Team8,Munich Re,
1190,Team8,Nokia,
1191,Team8,Qualcomm,
1192,Team8,Scotiabank,
1193,Team8,SoftBank Capital,1.0
1194,Team8,Walmart,1.0
1195,Telescope Partners,Greenspring Associates,
1196,Telescope Partners,State of Wisconsin Investment Board	,1.0
1197,Tenacity Venture Capital,New Enterprise Associates	,1.0
1198,TenOneTen Ventures,Foundry Group,
1199,The Builders Fund,747 Capital,2.0
1200,The Builders Fund,Align Impact,1.0
1201,The Builders Fund,Fiduciary Trust International	,1.0
1202,The Builders Fund,Gratitude Railroad,1.0
1203,The Builders Fund,Greenspring Associates	,1.0
1204,The Builders Fund,ImpactAssets,2.0
1205,The Builders Fund,Libra Foundation,2.0
1206,The Builders Fund,New Summit Investments,2.0
1207,The Builders Fund,Tides Foundation,2.0
1208,The Builders Fund,Tufts University Endowment	,2.0
1209,The Hina Group,Ajisen (China) Holdings,1.0
1210,The Hina Group,Beijing Zhongguancun Venture Capital Development	,1.0
1211,The Hina Group,CICC Jia Cheng Investment Management Company,1.0
1212,The Hina Group,Dong Yi Ri Sheng Home Decoration Group Company	,1.0
1213,The Hina Group,Peakview Capital (China),1.0
1214,The Hive,BluePointe Ventures,
1215,The Hive,Rockwell Automation Pension Plan	,1.0
1216,The Hive,Tuas Capital Partners,
1217,The Hive,VKRM,
1218,The Pearl Fund limited Partnership,European Union,1.0
1219,The Venture Reality Fund,HP Tech Ventures,1.0
1220,The Venture Reality Fund,Orange,1.0
1221,The Venture Reality Fund,Z Holdings,1.0
1222,Topmark Partners,The Community Development Venture Capital Alliance,1.0
1223,Trucks Venture Capital,V5 Partners,1.0
1224,TSVC,Acorn Pacific Ventures,1.0
1225,TSVC,Tsinghua Holdings,2.0
1226,Tullis Health Investors,Brighthouse Financial	,
1227,Tullis Health Investors,Cimarron Capital Partners,
1228,Tullis Health Investors,Dow Employees' Pension Plan	,1.0
1229,Tullis Health Investors,Headlands Capital,1.0
1230,Tullis Health Investors,Invesco,2.0
1231,Tullis Health Investors,Keren Keshet The Rainbow Foundation	,
1232,Tullis Health Investors,Michigan Department of Treasury	,2.0
1233,Tullis Health Investors,New Mexico State Investment Council	,2.0
1234,Tullis Health Investors,Oklahoma Capital Investment Board	,1.0
1235,Tullis Health Investors,Spice Private Equity	,1.0
1236,Tullis Health Investors,SR One,1.0
1237,Tullis Health Investors,The Standard Fire Insurance Company,1.0
1238,Tullis Health Investors,Travelers Casualty and Surety Company	,1.0
1239,Tullis Health Investors,Vulcan Materials Master Pension Trust Fund,2.0
1240,Tullis Health Investors,Wallace H. Coulter Foundation,3.0
1241,Unovis Asset Management,Credit Suisse,1.0
1242,Unovis Asset Management,Griffith Foods,1.0
1243,Unovis Asset Management,Invest-NL (Investment Company),1.0
1244,Unovis Asset Management,Unigestion,1.0
1245,Upshot Capital Advisors,Mercury Fund,2.0
1246,Venture Capital fund of America,Andrea Waitt Carlton Family Foundation,1.0
1247,Venture Capital fund of America,BWXT Master Trust,1.0
1248,Venture Capital fund of America,Charles K. Blandin Foundation	,1.0
1249,Venture Capital fund of America,East Riding Pension Fund,2.0
1250,Venture Capital fund of America,Employers Insurance Company of Wausau,3.0
1251,Venture Capital fund of America,Gaylord and Dorothy Donnelley Foundation	,1.0
1252,Venture Capital fund of America,Greater Manchester Pension Fund	,3.0
1253,Venture Capital fund of America,Hatteras Funds,2.0
1254,Venture Capital fund of America,Haverford College Endowment	,1.0
1255,Venture Capital fund of America,J.F. Maddox Foundation	,1.0
1256,Venture Capital fund of America,Liberty Insurance Corporation	,3.0
1257,Venture Capital fund of America,Liberty Mutual Fire Insurance Company	,3.0
1258,Venture Capital fund of America,Liberty Mutual Insurance Company	,3.0
1259,Venture Capital fund of America,Liberty Mutual Retirement Benefit Plan,2.0
1260,Venture Capital fund of America,Lincoln Life Assurance Company of Boston	,3.0
1261,Venture Capital fund of America,Merseyside Pension Fund	,2.0
1262,Venture Capital fund of America,New York State Common Retirement Fund	,2.0
1263,Venture Capital fund of America,New York State Teachers' Retirement System,1.0
1264,Venture Capital fund of America,Peerless Insurance Company	,2.0
1265,Venture Capital fund of America,Pentegra Defined Benefit Plan for Financial Institutions,2.0
1266,Venture Capital fund of America,PFA Pension,1.0
1267,Venture Capital fund of America,Richard H. Driehaus Foundation,2.0
1268,Venture Capital fund of America,Richard M. Fairbanks Foundation,1.0
1269,Venture Capital fund of America,University of Richmond Endowment	,1.0
1270,Venture Capital fund of America,Vulcan Materials Master Pension Trust Fund	,1.0
1271,Venture Capital fund of America,Weeden Foundation	,1.0
1272,Verge Fund,McCune Charitable Foundation,1.0
1273,Verge Fund,New Mexico State Investment Council	,1.0
1274,Village Capital,Gray Matters Capital,
1275,Village Capital,Propel Capital Network,
1276,Village Capital,Sorenson Impact Foundation	,1.0
1277,Vistara Growth,Export Development Canada,1.0
1278,W Investments Group,Desjardins Capital	,1.0
1279,Watts Gwilliam & Company,Danica Pension,1.0
1280,Wave Capital,Bracket Capital,1.0
1281,Wave Capital,Cendana Capital,
1282,Wave Capital,DF Enterprises,1.0
1283,Wave Capital,Foundry Group,
1284,Will Ventures,Passport Foundation,1.0
1285,Working Capital,Open Society Foundation,1.0
1286,Working Capital,Ray And Dagmar Dolby Family Fund,1.0
1287,Working Capital,The Wal-Mart Foundation,1.0
1288,Working Capital,The Walt Disney Company Retirement Plan Master Trust,1.0
1289,Zane Venture Fund,Sigmund Mosley,
1290,Ziegler (PINX: ZGCO),Superior HealthPlan	,1.0
1291,11.2 Capital,Andy Chou,
1292,11.2 Capital,Cendana Capital,
1293,11.2 Capital,Shanda Group,
1294,3x5 Partners,Collins Foundation,2.0
1295,3x5 Partners,Selby and Richard McRae Foundation	,1.0
1296,424 Capital,Bruce E. and Robbi S. Toll Foundation	,3.0
1297,4490 Ventures,State of Wisconsin Investment Board,
1298,4491 Ventures,Wisconsin Alumni Research Foundation,
1299,49th State Angel Fund,State Small Business Credit Initiative	,
1300,645 Ventures,Albert Wenger,1.0
1301,646 Ventures,Alfred Zollar,1.0
1302,647 Ventures,Andrew W. Mellon Foundation,1.0
1303,648 Ventures,Benjamin Levin,1.0
1304,649 Ventures,Cathleen Black,1.0
1305,650 Ventures,Greg Pass,1.0
1306,651 Ventures,Howard Morgan,1.0
1307,652 Ventures,Kenneth Chenault,1.0
1308,653 Ventures,Klingenstein Fields,1.0
1309,654 Ventures,Los Angeles Fire and Police Pension System,1.0
1310,655 Ventures,Mark Patterson,1.0
1311,656 Ventures,Mellody Hobson,1.0
1312,657 Ventures,Neil Malik,1.0
1313,658 Ventures,Neil Mehta,1.0
1314,659 Ventures,Princeton University Investment Company	,1.0
1315,660 Ventures,Scott Maxwell,1.0
1316,661 Ventures,Spelman College Endowment	,1.0
1317,662 Ventures,William Lewis,1.0
1318,A.Capital Ventures,Missouri Department of Transportation and Highway Patrol Employees' Retirement System	,1.0
1319,A.Capital Ventures,The Ford Family Foundation,1.0
1320,AAF Management,AMK Investment Office,1.0
1321,AAF Management,Shorooq Partners,
1322,AAVIN Private Equity,Bell Atlantic Master Trust,1.0
1323,AAVIN Private Equity,IBM Personal Pension Plan,1.0
1324,AAVIN Private Equity,Illinois Municipal Retirement Fund,1.0
1325,AAVIN Private Equity,Nebraska Investment Council,2.0
1326,AAVIN Private Equity,Omaha School Employees' Retirement System	,2.0
1327,AAVIN Private Equity,Public School Retirement System of the City of St. Louis,1.0
1328,AAVIN Private Equity,Raytheon Technologies Corporation Employees Retirement Plan	,1.0
1329,AAVIN Private Equity,SBC Master Pension Trust	,1.0
1330,AAVIN Private Equity,The Prudential Merged Retirement Plan	,1.0
1331,AAVIN Private Equity,United Technologies Corporation Employee Retirement Plan,
1332,Abies Ventures,Mistletoe,
1333,Accelerate Fund,Alberta Enterprise,2.0
1334,Accelerated Digital Ventures,British Business Bank,1.0
1335,Accelerated Digital Ventures,Legal & General Capital,1.0
1336,Accelerated Digital Ventures,Woodford Investment Management	,1.0
1337,Accelerated Ventures,Keiretsu Forum,1.0
1338,Accelerator Venture Capital Management,Cendana Capital,1.0
1339,Accretive Capital Partners,HarbourVest Partners	,2.0
1340,ACET,Investissement Qu¨¦bec	,1.0
1341,Acre Venture Partners,Campbell Soup,2.0
1342,Acre Venture Partners,The Grantham Foundation	,1.0
1343,Active Impact Investments,Crown Equipment Corporation Retirement Plan,1.0
1344,Active Impact Investments,Export Development Canada,1.0
1345,Active Impact Investments,Fondaction,1.0
1346,Active Impact Investments,Hamilton Community Foundation	,1.0
1347,Active Impact Investments,University of Victoria Foundation,1.0
1348,Active Impact Investments,Vancity Capital,1.0
1349,Acumen Fund,Banco de Comercio Exterior de Colombia	,
1350,Acumen Fund,Children's Investment Fund Foundation	,1.0
1351,Acumen Fund,FMO- Dutch entrepreneurial development bank	,1.0
1352,Acumen Fund,Green Climate Fund,1.0
1353,Acumen Fund,Grupo Bancolombia,
1354,Acumen Fund,Grupo de Inversiones Suramericana	,
1355,Acumen Fund,IKEA Foundation,1.0
1356,Acumen Fund,Inter-American Development Bank,
1357,Acumen Fund,John D. and Catherine T. MacArthur Foundation	,
1358,Acumen Fund,KL Felicitas Foundation	,1.0
1359,Acumen Fund,Mercantil Colpatria	,
1360,Acumen Fund,Netherlands Enterprise Agency	,
1361,Acumen Fund,Osprey Foundation	,
1362,Acumen Fund,Proparco,1.0
1363,Acumen Fund,Soros Economic Development Fund,1.0
1364,Acumen Fund,The Hermine and David Heller Foundation,
1365,Acumen Fund,The Prudential Insurance Company of America,1.0
1366,Acumen Fund,The Skoll Foundation	,1.0
1367,Acumen Fund,WWB Colombia Foundation	,
1368,Adobe Capital,DEG,2.0
1369,Adobe Capital,IDB Invest,
1370,Adobe Capital,Inter-American Development Bank,1.0
1371,Adobe Capital,KL Felicitas Foundation,1.0
1372,Adobe Capital,Proparco,1.0
1373,Advancit Capital,The Eisner Foundation	,1.0
1374,Advent-Morro Equity Partners,Employees' Retirement System of the Government of the Commonwealth of Puerto Rico	,4.0
1375,Advent-Morro Equity Partners,Puerto Rico Telephone Company Master Trust,1.0
1376,Advent-Morro Equity Partners,University of Puerto Rico Retirement System	,2.0
1377,AF Ventures,Danone Manifesto Ventures,
1378,AF Ventures,FreshDirect,1.0
1379,AF Ventures,JetBlue Airways,1.0
1380,AF Ventures,United Natural Foods,1.0
1381,AgTech Accelerator,180 Degree Capital,
1382,AgTech Accelerator,Alexandria Real Estate Equities (NYS:ARE),
1383,AgTech Accelerator,ARCH Venture Partners,
1384,AgTech Accelerator,Bayer CropScience,
1385,AgTech Accelerator,Hatteras Venture Partners	,
1386,AgTech Accelerator,Pappas Capital,
1387,AgTech Accelerator,Syngenta,
1388,Al Fund,Greylock Partners,1.0
1389,Al Fund,New Enterprise Associates,1.0
1390,Al Fund,Sequoia Capital,1.0
1391,Al Fund,SoftBank Group	,1.0
1392,Airbus Ventures,Development Bank of Japan	,1.0
1393,Airbus Ventures,Fuyo General Lease Company,1.0
1394,Airbus Ventures,Mitsubishi HC Capital,1.0
1395,Akridge,C.M. Life Insurance Company,1.0
1396,Akridge,H-E-B Brand Savings & Retirement Plan	,1.0
1397,Akridge,MassMutual Financial Group	,1.0
1398,Akron Biolnvestments Fund,FirstEnergy,1.0
1399,Akron Biolnvestments Fund,Medical Mutual of Ohio	,1.0
1400,Alabama Futures Fund,Protective Life Insurance Company (PLC),1.0
1401,Alabama Futures Fund,Raymond J. Harber,1.0
1402,Alchemist Accelerator,Cisco Investments,
1403,Alchemist Accelerator,SAP (ETR:SAP),1.0
1404,Alerion Partners,MassMutual Financial Group,2.0
1405,Algo Capital,11-11 Ventures,1.0
1406,Algo Capital,Arrington XRP Capital	,1.0
1407,Algo Capital,Blockchain.com,1.0
1408,Algo Capital,Brainchild,1.0
1409,Algo Capital,DG Ventures,1.0
1410,Algo Capital,Eterna Capital,1.0
1411,Algo Capital,GSR,1.0
1412,Algo Capital,Invermaster,1.0
1413,Algo Capital,NGC Ventures,1.0
1414,Algo Capital,Rokk3r (company building platform),1.0
1415,Algo Capital,Wibson,1.0
1416,Allegra Partners,Allete and Affiliated Companies Master Pension Trust,1.0
1417,Allegra Partners,Allete and Affiliated Companies Retirement Plan A	,
1418,Allegra Partners,Iowa Public Employees' Retirement System,1.0
1419,Allegra Partners,Nevada Public Employees Retirement System	,1.0
1420,Allegra Partners,New York City Employees' Retirement System	,1.0
1421,Allegra Partners,New York City Public Pension Funds	,2.0
1422,Allegra Partners,Teachers' Retirement System of the City of New York	,1.0
1423,Allied Minds (LON: ALM),Invesco,1.0
1424,Allied Minds (LON: ALM),Woodford Investment Management,1.0
1425,Allos Ventures,Cintrifuse,1.0
1426,Allos Ventures,Indiana University Foundation,1.0
1427,Allos Ventures,Next Level Indiana Trust Fund	,1.0
1428,Allos Ventures,Renaissance Venture Capital	,1.0
1429,Allos Ventures,The Ohio Capital Fund	,1.0
1430,ALLVP,Banco de Comercio Exterior de Colombia,1.0
1431,ALLVP,Instituto Nacional Del Emprendedor,1.0
1432,ALLVP,Inter-American Development Bank	,1.0
1433,ALLVP,Nacional Financiera	,1.0
1434,ALLVP,Northgate Capital	,1.0
1435,ALLVP,PineBridge Investments,1.0
1436,Alpha Intelligence Capital Fund,MK Venture Capital,1.0
1437,Alpha Venture Capital,Hellenic Development Bank of Investment	,
1438,Alsis Funds,California Public Employees' Retirement System	,1.0
1439,Alsis Funds,PineBridge Investments	,1.0
1440,Alsis Funds,U.S. International Development Finance Corporation	,2.0
1441,Alsop Louie Partners,Co-Op Retirement Plan	,1.0
1442,Alsop Louie Partners,Los Angeles County Employees' Retirement Association	,2.0
1443,Alsop Louie Partners,SBC Master Pension Trust,1.0
1444,Alsop Louie Partners,Texas Permanent School Fund,1.0
1445,Altitude life Science Ventures,Alaska Permanent Fund,2.0
1446,Alupka Asset Management,Next Level Ventures	,
1447,Amplify Capital,Bealight Foundation,1.0
1448,Amplify Capital,Conconi Family Foundation,1.0
1449,Amplify Capital,Fondaction,1.0
1450,Amplify Capital,Fondation Mirella & Lino Saputo	,1.0
1451,Amplify Capital,Hamilton Community Foundation	,
1452,Amplify Capital,Jona Capital,1.0
1453,Amplify Capital,La Fondation Lucie et Andr¨¦ Chagnon	,1.0
1454,Amplify Capital,Metcalf Foundation	,1.0
1455,Amplify Capital,Mindset Social Innovation Foundation,1.0
1456,Amplify Capital,Royal Bank of Canada,1.0
1457,Amplify Capital,The Nixon Charitable Foundation	,2.0
1458,Amplify Capital,The Virgin Foundation,1.0
1459,Amplify Capital,Vancity Capital	,1.0
1460,Amplitude Ventures,Alberta Enterprise,1.0
1461,Amplitude Ventures,Alexandria Venture Investments,1.0
1462,Amplitude Ventures,BDC Capital,1.0
1463,Amplitude Ventures,Business Development Bank of Canada,1.0
1464,Amplitude Ventures,Caisse de d¨¦p?t et placement du Qu¨¦bec	,1.0
1465,Amplitude Ventures,CDP Investissements	,1.0
