investor_id,investor_name,investment_num,total_funds_open,total_funds_closed,AUM,dry_powder,last_investment_type,last_investment_valuation,last_investment_size,last_investment_class,investments_last_5_yrs,investments_last_2_yrs,investments_last_12_months,investments_last_6_months,active_porfolio,exits,last_closed_fund_size,preferred_industry_1,preferred_industry_2,primary_investor_type,max_fund_size,median_fund_size,min_fund_size,fund_closed_num,total_investments_last_5_yrs,total_investments_last_2_yrs,total_investments_last_12_months,total_investments_last_6_months,total _active_portfolio,total_exits,total_investments
838,3rd Creek,11,,1,70.00,1.39,Later Stage VC,,3.15,Venture Capital,3,1,1,,8,2,1.98,Business Products and Services (B2B),Consumer Non-Durables,Venture Capital,1.98,1.98,1.98,,3,,,,8,2,11
839,3x5 Partners,34,,3,189.10,78.44,Early Stage VC,96.00,26.00,Venture Capital,18,7,5,2,14,10,100,Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology,Venture Capital,100.00,89.10,80.00,3,18,7,4,2,14,10,34
840,424 Capital,100,,5,115.00,4.85,Buyout/LBO,,,Private Equity,38,20,11,6,16,39,,Commercial Products,Energy Services,PE/Buyout,"100,00",25.00,15.00,5,38,18,10,6,16,39,100
841,4490 Ventures,27,,2,135.00,10.15,Later Stage VC,122.50,22.50,Venture Capital,18,7,5,,12,4,49,,,Venture Capital,49.00,39.50,30.00,2,18,7,5,,12,4,27
842,49th State Angel Fund,4,,1,12.74,7.31,Equity Crowdfunding,,0.07,Individual,2,1,1,1,3,,13.2,,,Government,13.20,13.20,13.20,1,2,1,,1,3,,4
843,645 Ventures,75,,3,208.60,108.08,Early Stage VC,16.36,9.36,Venture Capital,39,22,14,6,46,17,160,Software,,Venture Capital,160.00,40.62,8.00,3,38,22,14,5,46,17,75
844,7 Gate Ventures,37,,2,10.00,0.32,Early Stage VC,,,Venture Capital,19,3,2,2,21,13,20,Communications and Networking,Healthcare Devices and Supplies,Venture Capital,20.00,11.73,3.46,2,19,2,2,2,21,13,37
845,76 Forward,132,,1,12.50,1.75,Later Stage VC,65.00,25.00,Venture Capital,24,3,1,,58,52,12.5,Services (Non-Financial),Software,Accelerator/Incubator,12.50,12.50,12.50,,17,3,,,58,52,132
846,8808 Ventures,,,1,20.00,7.84,,,,,,,,,,,20,,,Venture Capital,20.00,20.00,20.00,,,,,,,,
847,9Mile Labs,86,,2,3.27,0.36,Later Stage VC,34.10,6.10,Venture Capital,19,3,2,,42,44,3.27,Business Products and Services (B2B),Software,Venture Capital,3.27,2.08,0.90,2,19,2,2,,42,44,86
848,A.James & Alice 8. Clark Foundation,1,,,127.24,,Grant,,12.46,Other,1,,,,1,,,Services (Non-Financial),,Limited Partner,,,,,,,,,1,,
849,A.Capital Ventures,110,,3,221.00,97.78,Seed Round,,4.01,Venture Capital,85,48,31,10,68,19,170,Commercial Products,Commercial Services,Venture Capital,170.00,110.50,51.00,3,84,44,26,6,68,19,110
850,AAF Management,102,,2,100.00,20.76,Seed Round,,3.40,Venture Capital,69,15,9,7,66,23,40,Consume,Products and Services (B2C),Venture Capital,40.00,27.50,15.00,2,61,13,9,4,66,23,102
851,AAVIN Private Equity,44,,7,87.00,10.29,Buyout/LBO,,,Private Equity,10,3,1,,16,23,,Commercial Products,Commercial Services,PE/Buyout,61.00,36.00,20.00,7,9,3,,,16,23,44
852,ABB Technology Ventures,74,,,200.00,,Later Stage VC,,50.00,Venture Capital,46,21,11,6,26,17,,Buildings and Property,Electrical Equipment,Corporate Venture Capital,,,,,45,18,11,5,26,17,74
853,Abernathey Holding Co,,,4,1.64,0.33,,,,,,,,,,,,Financial Services,,Holding Company,0.63,0.35,0.18,4,,,,,,,
854,Abernathy Group II Family Office,1,,3,64.21,,Early Stage VC,,26.00,Venture Capital,,,,,,3,,Communications and Networking,Software,Limited Partner,,,,3,,,,,,3,
855,Abies Ventures,17,,1,22.86,0.07,Early Stage VC,,101.00,Venture Capital,17,12,6,2,14,1,0.36,Computer Hardware,Materials and Resources,Venture Capital,0.36,0.36,0.36,,17,11,6,2,14,,17
856,Acadian Ventures,19,,1,20.00,7.08,Early Stage VC,,2.27,Venture Capital,18,13,11,5,18,3,13.2,Software,,Venture Capital,13.20,13.20,13.20,,18,13,9,2,18,3,19
857,Accelerate Fund,9,,2,26.08,,Later Stage VC,,12.55,Venture Capital,7,6,5,4,9,,10.67,Agriculture,Communications and Networking,Venture Capital,10.67,9.26,7.86,2,7,6,5,3,9,,9
858,Accelerated Digital Ventures,49,,1,73.70,,Seed Round,6.24,1.53,Venture Capital,47,8,2,,30,6,,Healthcare,Software,Venture Capital,,,,,45,6,2,,30,6,49
859,Accelerated Ventures,9,,2,1.78,0.00,Seed Round,,3.43,Venture Capital,2,2,2,2,3,6,,Software,,Accelerator/Incubator,2.11,2.11,2.11,2,2,2,2,2,3,6,9
860,Accelerator Venture Capital Management,81,,2,5.75,0.17,Early Stage VC,,6.50,Venture Capital,10,2,2,,18,52,,Other Information Technology,Software,Venture Capital,5.75,5.75,5.75,2,10,2,,,18,52,81
861,Access Global Investments,6,,2,0.50,,PIPE,,7.11,Private Equity,,,,,,6,0.5,Commercial Services,,Asset Manager,3.95,2.23,0.50,2,,,,,,6,6
862,Accretive Capital Partners,10,,1,125.00,,Later Stage VC,196.76,42.27,Venture Capital,,,,,1,9,125,Commercial Services,,Asset Manager,125.00,125.00,125.00,,,,,,,9,10
863,Acento Real Estate Partners,1,,1,71.00,1.91,Corporate Asset Purchase,15.00,15.00,Corporate,,,,,1,,71,Other Business Products and Services,,Asset Manager,71.00,71.00,71.00,,,,,,,,
864,Acero Capital,26,,2,155.00,1.96,Later Stage VC,"1,350.17",150.00,Venture Capital,6,1,1,1,2,9,5,Business Products and Services (B2B),Computer Hardware,Venture Capital,150.00,77.50,5.00,2,6,,,,2,9,26
865,ACET,25,,3,6.01,0.00,Early Stage VC,,1.58,Venture Capital,18,6,3,2,21,1,5.83,Business Products and Services (B2B),Consumer Products and Services (B2C),Accelerator/Incubator,5.83,5.00,3.97,3,17,6,3,,21,,25
866,Achieve Partners,10,,2,180.00,282.37,Buyout/LBO,,,Private Equity,9,7,5,4,9,,180,Business Products and Services (B2B),Healthcare,PE/Buyout,180.00,180.00,180.00,2,9,7,5,,9,,10
867,Acorn Campus Ventures,40,,4,100.00,1.61,Later Stage VC,37.60,4.60,Venture Capital,3,1,1,,12,16,30,Commercial Products,Communications and Networking,Venture Capital,40.00,30.00,8.00,4,3,,,,12,16,40
868,Acorn Ventures,40,,1,100.00,1.75,Later Stage VC,,1.00,Venture Capital,2,1,,,11,23,100,Communications and Networking,Media,Venture Capital,100.00,100.00,100.00,1,2,,,,11,23,40
869,ACP Investment Group,1,,2,24.42,,Later Stage VC,,5.33,Venture Capital,,,,,,3,,Metals,Minerals and Mining,Limited Partner,,,,2,,,,,,3,1
870,Acre Venture Partners,31,,2,250.00,26.69,Seed Round,,11.33,Venture Capital,26,15,10,6,16,3,,Agriculture,Food Products,Venture Capital,125.00,125.00,125.00,2,25,15,9,5,16,3,31
871,ACRES Capital,,,1,52.00,43.78,,,,,,,,,,,51.97,,,Lender/Debt Provider,51.97,51.97,51.97,,,,,,,,
872,Act One Ventures,58,,2,23.00,9.02,Early Stage VC,42.10,14.10,Venture Capital,51,28,15,7,38,6,23,Other Financial Services,Software,Venture Capital,23.00,23.00,23.00,2,51,27,13,3,38,6,58
873,ActivateNM,14,,1,1.95,0.88,Seed Round,,2.79,Venture Capital,6,,,,9,4,1.95,Software,,Accelerator/Incubator,1.95,1.95,1.95,,5,,,,9,4,14
874,Active Impact Investments,27,,2,64.00,,Later Stage VC,,23.68,Venture Capital,27,19,10,5,17,1,47.36,Business Products and Services (B2B),Consumer Products and Services (B2C),Venture Capital,47.36,27.39,7.42,2,27,18,9,2,17,,27
875,Acumen Fund,135,,3,206.00,0.08,Seed Round,,,Venture Capital,38,17,8,4,81,31,58,Commercial Banks,Consumer Durables,Impact Investing,58.00,49.00,40.00,3,37,17,8,2,81,31,135
876,Adi Family Office,6,,,250.00,,Later Stage VC,"38,000.00","1,600.00",Venture Capital,6,4,1,1,6,,,Commercial Products,Movies,Family Office,,,,,6,4,,,6,,6
877,Aditum Bio,3,,1,133.00,80.46,Early Stage VC,30.25,20.00,Venture Capital,3,2,2,2,3,,133.04,Healthcare Devices and Supplies,Healthcare Services,Venture Capital,133.04,133.04,133.04,,3,2,2,,3,,3
878,Adobe Capital,13,,2,50.00,0.00,Mezzanine,,0.01,Debt,6,1,1,,9,5,30.3,Agriculture,Education and Training Services (B2B),Impact Investing,30.30,25.25,20.20,2,6,,,,9,5,13
879,Adrenaline Venture Fund,10,,1,0.62,0.20,Later Stage VC,,0.05,Venture Capital,10,,,,4,4,0.63,Commercial Products,Media,Venture Capital,0.63,0.63,0.63,,9,,,,4,4,10
880,Advance Wave Partners,1,,1,1.00,0.09,PE Growth/Expansion,,,Private Equity,,,,,,,1,Commercial Services,Software,Venture Capital,1.00,1.00,1.00,,,,,,,,
881,Advancit Capital,143,,3,36.50,6.15,Seed Round,40.00,10.00,Venture Capital,56,18,8,4,43,62,33.3,Entertainment Software,Software,Venture Capital,33.30,18.25,3.20,3,51,14,7,4,43,62,143
882,Advect Group,,,1,101.00,0.00,,,,,,,,,,,101.01,Energy,Infrastructure,PE/Buyout,101.01,101.01,101.01,1,,,,,,,
883,Advent-Morro Equity Partners,60,,3,57.00,17.54,Early Stage VC,,,Venture Capital,5,1,,,10,45,40,Communications and Networking,,PE/Buyout,57.00,42.00,40.00,3,5,,,,10,45,60
884,Aegis Digital Health,,,,0.50,,,,,,,,,,,,,Healthcare,Information Technology,Accelerator/Incubator,,,,,,,,,,,
885,Aeon Family of Funds,28,,9,127.73,0.00,Later Stage VC,,369.84,Venture Capital,15,4,,,10,19,1.2,Automotive,Beverages,Other Private Equity,102.00,4.01,1.09,9,15,4,,,10,19,28
886,AF Ventures,97,,3,105.00,18.78,Later Stage VC,,67.00,Venture Capital,61,17,7,3,42,16,57.13,Beverages,Food Products,Venture Capital,57.13,35.00,4.11,3,59,15,7,2,42,16,97
887,AFLG Investments,2,,,26.00,,PE Growth/Expansion,,250.00,Private Equity,,,,,,1,,Chemicals and Gases,,Asset Manager,,,,,,,,,,,2
888,Aga Khan Foundation,2,,,206.63,,Platform Creation,,,Private Equity,,,,,2,1,,Other financial Services,,Other,,,,,,,,,2,,2
889,AgeChem Financial,,,,65.00,,,,,,,,,,,,,Healthcare,,Venture Capital,,,,,,,,,,,
890,AGO Partners,31,,2,10.86,1.89,PIPE,,200.00,Venture Capital,9,5,2,2,12,12,10.86,Software,,Venture Capital,10.86,10.86,10.86,2,9,4,2,,12,12,31
891,AgTech Accelerator,8,,1,20.00,2.00,Early Stage VC,,4.91,Venture Capital,4,1,,,5,1,20,Agriculture,Pharmaceuticals and Biotechnology,Accelerator/Incubator,20.00,20.00,20.00,,3,,,,5,,8
892,AgTech Innovation Partners,,,1,50.00,,,,,,,,,,,,,Agriculture,Energy Services,Venture Capital,,,,,,,,,,,
893,Al Fund,26,,1,175.00,69.67,Later Stage VC,,10.00,Venture Capital,21,17,12,7,20,,174.8,Commercial Products,Communications and Networking,Venture Capital,174.80,174.80,174.80,,21,16,11,5,20,,26
894,AIC Ventures,7,,12,188.70,0.97,Buyout/LBO,,,Private Equity,1,,,,2,4,,Commercial Products,Other Business Products and Services,PE/Buyout,111.00,88.00,8.00,12,,,,,2,4,7
895,AIG Property Casualty Company,,,,64.44,,,,,,,,,,,2,,Insurance,Other Business Products and Services,Limited Partner,,,,,,,,,,2,
896,Aimia (TSE: AIM),22,,,205.90,,Later Stage VC,,38.39,Venture Capital,7,5,3,2,6,11,,Consumer Finance,legal Services (B2B),Holding Company,,,,,7,5,2,,6,11,22
897,"Ainge, Broadbent & Callister",,,1,100.00,,,,,,,,,,,,,Business Products and Services (B2B),Consumer Products and Services (B2C),Growth/Expansion,,,,,,,,,,,
898,AIP Private Capital,10,,,39.51,,Later Stage VC,,2.11,Venture Capital,2,2,1,,4,8,,Alternative Energy Equipment,Energy Exploration,Venture Capital,,,,,2,2,,,4,8,10
899,Airbus Ventures,62,,2,150.00,32.03,Later Stage VC,400.00,60.00,Venture Capital,57,21,11,6,36,9,,Aerospace and Defense,Agriculture,Corporate Venture Capital,150.00,150.00,150.00,2,55,20,11,5,36,9,62
900,Airlie Group,2,,,172.88,,Buyout/LBO,,,Private Equity,,,,,,1,,Services (Non-Financial),Software,Family Office,,,,,,,,,,,2
901,AIRX Innovation,24,,1,15.00,3.92,Early Stage VC,,15.30,Venture Capital,12,4,,,14,10,15,Software,,Venture Capital,15.00,15.00,15.00,,12,3,,,14,10,24
902,AiSprouts,9,,,10.00,,Later Stage VC,,12.00,Venture Capital,9,5,4,4,6,,,Software,,Venture Capital,,,,,9,5,4,3,6,,9
903,Akridge,3,,1,150.00,12.81,Corporate Asset Purchase,,,Corporate,,,,,1,5,150,Other Business Products and Services,,Real Estate,150.00,150.00,150.00,1,,,,,1,5,3
904,Akron Biolnvestments Fund,17,,2,1.83,0.27,Later Stage VC,17.50,7.00,Venture Capital,1,,,,5,10,1.75,Healthcare Devices and Supplies,,Venture Capital,1.75,1.63,1.50,2,,,,,5,10,17
905,Aksarben Innovation Initiative,4,,1,0.60,0.05,Early Stage VC,33.75,6.25,Venture Capital,1,,,,3,1,0.6,Agriculture,Chemicals and Gases,Accelerator/Incubator,0.60,0.60,0.60,,,,,,3,,4
906,Akula Energy Ventures,4,,,5.00,,Early Stage VC,,2.00,Venture Capital,,,,,2,3,,Energy Equipment,Energy Services,Venture Capital,,,,,,,,,2,3,4
907,Alabama Futures Fund,16,,1,25.00,5.18,Early Stage VC,,,Venture Capital,15,9,7,3,13,1,25,Business Products and Services (B2B),Consumer Products and Services (B2C),Venture Capital,25.00,25.00,25.00,,15,9,7,3,13,1,16
908,Alafi Capital Company,40,,,60.00,,Early Stage VC,36.85,15.70,Venture Capital,3,2,1,,6,28,,Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology,Venture Capital,,,,,3,2,,,6,28,40
909,Alante Capital,7,,1,30.00,1.00,Early Stage VC,,6.66,Venture Capital,7,5,5,2,7,,2.55,Apparel and Accessories,Automation/Workflow Software,Venture Capital,2.55,2.55,2.55,,7,5,5,2,7,,7
910,Alaya Capital Partners,36,,2,21.40,3.58,Seed Round,,1.20,Venture Capital,27,8,1,,29,4,20,Software,,Venture Capital,20.00,10.80,1.60,2,27,7,,,29,4,36
911,Albany International Pension Plus Plan,1,,,105.54,,Merger/Acquisition,,,Corporate,,,,,,,,Commercial Products,,Corporation,,,,,,,,,,,1
912,Akatel Ventures,18,,2,125.00,0.00,Later Stage VC,,10.00,Venture Capital,,,,,,15,125,Communications and Networking,Software,Venture Capital,125.00,77.50,29.99,2,,,,,,15,18
913,Alchemist Accelerator,587,,3,58.00,8.68,Accelerator/Incubator,,,Other,323,121,60,32,354,142,50,Business Products and Services (B2B),Consumer Products and Services (B2C),Accelerator/Incubator,50.00,29.00,8.00,3,318,117,59,26,354,142,587
914,Alchemus Capital,,,,50.00,,,,,,,,,,,,,Healthcare Technology Systems,Media,Venture Capital,,,,,,,,,,,
915,Alchemy Ventures,1,,,200.00,,Seed Round,,0.65,Venture Capital,,,,,1,,,Aerospace and Defense,Building Products,Growth/Expansion,,,,,,,,,,,
916,Alcova Capital,,,5,76.70,,,,,,,,,,,,0.99,,,Lender/Debt Provider,40.15,10.09,0.99,5,,,,,,,
917,Afemis Ventures,,,,0.10,,,,,,,,,,,,,,,Venture Capital,,,,,,,,,,,
918,Alerion Partners,19,,2,70.70,0.10,Early Stage VC,14.38,10.38,Venture Capital,,,,,5,10,70.7,Consumer Durables,Consumer Non-Durables,PE/Buyout,70.70,47.85,25.00,2,,,,,5,10,19
919,Alexa Accelerator,29,,1,100.00,,Accelerator/Incubator,,0.02,Other,29,,,,18,10,,Software,,Accelerator/Incubator,200.00,200.00,200.00,,29,,,,18,10,29
920,Alexandria Launchlabs,9,,1,25.00,,Later Stage VC,,10.04,Venture Capital,8,2,1,,6,3,,Healthcare Devices and Supplies,Healthcare Technology Systems,Accelerator/Incubator,,,,,7,2,,,6,3,9
921,Alfa Insurance Company,,,,102.02,,,,,,,,,,,,,Other Business Products and Services,,Corporation,,,,,,,,,,,
922,Alfred Mann Foundation,7,,,85.00,,Later Stage VC,140.10,75.10,Venture Capital,1,,,,1,5,,Healthcare Devices and Supplies,Software,Not-For-Profit Venture Capital,,,,,1,,,,1,5,7
923,Algo Capital,3,,2,200.00,115.03,Early Stage VC,,26.75,Venture Capital,3,,,,3,,,Other Financial Services,Software,Venture Capital,200.00,200.00,200.00,2,3,,,,3,,3
924,Algonquin Advisors,,,5,232.40,13.61,,,,,,,,,,,31,Financial Services,,Asset Manager,72.55,28.00,2.25,5,,,,,,,
925,Ali Capital,6,,1,9.00,2.35,Later Stage VC,,10.00,Venture Capital,5,2,3,,4,1,9,Software,,Venture Capital,9.00,9.00,9.00,,5,2,,,4,,6
926,Align Impact,1,,,164.07,,Seed Round,,4.50,Venture Capital,1,1,,,1,,,,,Impact Investing,,,,,1,1,,,1,,1
927,Aligned Partners,17,,3,80.00,5.57,Early Stage VC,9.65,3.15,Venture Capital,7,,,,9,4,,Software,,Venture Capital,50.00,40.00,30.00,3,6,,,,9,4,17
928,Alinian Capital Group,1,,,1.00,,Buyout/lBO,39.00,39.00,Private Equity,,,,,,1,,Textiles,,PE/Buyout,,,,,,,,,,1,1
929,Alitus Partners,4,,1,147.00,0.00,Buyout/lBO,,,Private Equity,2,1,,,4,1,100,,,PE/Buyout,100.00,100.00,100.00,,2,,,,4,1,4
930,Alkek & Williams Foundation,1,,,3.71,,Early Stage VC,25.00,1.00,Venture Capital,,,,,,1,,Pharmaceuticals and Biotechnology,,Limited Partner,,,,,,,,,,,
931,Allectus Capital,45,,,200.00,,Seed Round,0.01,0.01,Venture Capital,29,13,6,3,36,8,,Financial Services,Healthcare Technology Systems,Venture Capital,,,,,29,11,5,,36,8,45
932,Allegiance Capital,7,,,50.00,,Merger/Acquisition,,,Corporate,,,,,,5,,Business Products and Services (B2B),Commercial Services,Investment Bank,,,,,,,,,,5,7
933,Allegion Ventures,10,,2,150.00,82.58,later Stage VC,380.00,60.00,Venture Capital,10,7,4,1,7,1,100,Consumer Durables,Education and Training Services (B2B),Corporate Venture Capital,100.00,75.00,50.00,2,10,7,3,,7,,10
934,Allegra Partners,21,,2,40.00,0.00,later Stage VC,,30.00,Venture Capital,,,,,1,18,85,Communications and Networking,Software,Venture Capital,85.00,62.50,40.00,2,,,,,,18,21
935,Alliance Healthcare Foundation,4,,,73.91,,Grant,,0.50,Other,3,,,,4,,,Healthcare Services,Services (Non-Financial),Other,,,,,3,,,,4,,4
936,Allied Minds (LON: ALM),53,,2,180.00,148.18,later Stage VC,288.00,58.00,Venture Capital,17,5,3,1,7,26,80,Software,,Venture Capital,100.00,90.00,80.00,2,17,5,3,,7,26,53
937,Allos Ventures,95,,4,100.00,24.39,Seed Round,8.00,2.00,Venture Capital,48,23,14,6,30,31,38.08,Commercial Services,IT Services,Venture Capital,52.00,39.54,11.00,4,47,21,11,6,30,31,95
938,ALLVP,66,,3,200.00,0.00,later Stage VC,28.00,14.00,Venture Capital,29,17,12,7,26,14,83,Asset Management,Healthcare Technology Systems,Venture Capital,83.00,36.20,36.20,3,27,17,12,5,26,14,66
939,Almanac Fund,,,1,1.38,2.70,,,,,,,,,,,5.04,,,Venture Capital,5.04,5.04,5.04,,,,,,,,
940,Almanac Insights,28,,1,30.00,7.84,later Stage VC,475.00,100.00,Venture Capital,25,10,4,2,22,4,30,Agriculture,Consumer Non-Durables,Venture Capital,30.00,30.00,30.00,,25,8,3,,22,4,28
941,Alpha Intelligence Capital Fund,27,,1,200.00,0.00,later Stage VC,,11.20,Venture Capital,27,15,7,2,19,5,200,Semiconductors,Software,Venture Capital,200.00,200.00,200.00,,27,15,7,2,19,5,27
942,Alpha Venture Capital,9,,,6.93,,later Stage VC,,13.13,Venture Capital,1,,,,2,6,,Other Information Technology,Pharmaceuticals and Biotechnology,Venture Capital,,,,,,,,,2,6,9
943,Alpheus Capital,,,,0.71,,,,,,,,,,,,,Commercial Services,Education and Training Services (B2B),Family Office,,,,,,,,,,,
944,Alpine Investment Group,,,,100.00,,,,,,,,,,,,,Asset Management,Buildings and Property,Real Estate,,,,,,,,,,,
945,Alpine Meridian,81,,2,13.50,1.85,Seed Round,,5.12,Venture Capital,39,18,8,5,44,29,9.5,Financial Services,Media and Information Services (B2B),Venture Capital,9.50,6.75,4.00,2,39,16,8,2,44,29,81
946,ALS Investment Fund,9,,2,24.86,15.06,later Stage VC,245.00,98.00,Venture Capital,8,5,3,3,6,2,,Pharmaceuticals and Biotechnology,,Venture Capital,25.00,25.00,25.00,2,7,5,3,3,6,2,9
947,Alsis Funds,1,,2,150.00,0.00,Buyout/lBO,6.41,6.41,Private Equity,1,,,,1,,50,Other Business Products and Services,Other Consumer Products and Services,Asset Manager,150.00,100.00,50.00,2,,,,,1,,
948,Alsop Louie Partners,115,,4,153.03,3.84,Early Stage VC,100.00,30.00,Venture Capital,34,13,8,5,27,46,,Entertainment Software,Media,Venture Capital,97.58,75.00,54.43,4,34,12,8,5,27,46,115
949,Alta Community Investment,,,12,11.67,11.90,,,,,,,,,,,11.67,,,Real Estate,21.81,6.76,1.69,12,,,,,,,
950,Alta lake Equity Partners,1,,,50.00,,PE Growth/Expansion,,,Private Equity,1,1,1,1,1,,,IT Services,Software,Fundless Sponsor,,,,,,,,,,,
951,Altair Management Partners,,,2,46.53,0.00,,,,,,,,,,,,,,Asset Manager,41.40,41.40,41.40,2,,,,,,,
952,Althea Foundation,1,,,0.44,,Grant,,0.01,Other,1,,,,1,,,Consumer Non-Durables,Software,Limited Partner,,,,,,,,,,,
953,Altitude Investment Management,26,,2,50.00,16.35,Later Stage VC,,19.48,Venture Capital,20,1,,,17,8,,Business Products and Services (B2B),Consumer Products and Services (B2C),Venture Capital,30.50,30.50,30.50,2,20,,,,17,8,26
954,Altitude life Science Ventures,58,,4,174.00,29.18,Early Stage VC,"1,450.00",370.00,Venture Capital,30,11,4,3,13,33,,Business Products and Services (B2B),Consumer Products and Services (B2C),Venture Capital,100.00,50.00,24.00,4,30,11,4,3,13,33,58
955,Alupka Asset Management,,,1,57.73,,,,,,,,,,,,,,,Hedge fund,,,,,,,,,,,
956,Amazon Alexa Fund,128,,1,200.00,,Later Stage VC,,24.00,Venture Capital,103,47,22,11,74,31,,Commercial Products,Communications and Networking,Corporate Venture Capital,200.00,200.00,200.00,,103,44,20,8,74,31,128
957,American College of Cardiology Foundation,4,,,152.35,,Early Stage VC,79.29,43.00,Venture Capital,3,1,1,,2,2,,Healthcare Services,Healthcare Technology Systems,Limited Partner,,,,,3,1,,,2,2,4
958,American Discovery Capital,9,,1,60.00,25.92,Buyout/LBO,,,Private Equity,9,5,2,,5,,56.84,Healthcare Services,Software,Merchant Banking Firm,56.84,56.84,56.84,,9,3,,,5,,9
959,American European Insurance Company,1,,,160.14,,Merger/Acquisition,,,Corporate,,,,,,2,,Insurance,,Corporation,,,,,,,,,,2,
960,American Kennel Club,2,,,112.29,,Merger/Acquisition,,,Corporate,1,,,,,,,Other Consumer Products and Services,Services (Non-Financial),Corporation,,,,,,,,,,,2
961,Ames Seed Capital,15,,7,4.30,0.89,Later Stage VC,,3.80,Venture Capital,6,2,1,,6,5,4.3,Commercial Products,Commercial Services,Venture Capital,4.30,0.84,0.24,7,6,2,,,6,5,15
962,AMI Asset Management,,,,1.70,,,,,,,,,,,,,,,Asset Manager,,,,,,,,,,,
963,Amplify Capital,22,,2,19.76,,Seed Round,,8.50,Venture Capital,19,10,7,3,15,2,24.31,Educational and Training Services (B2C),Financial Services,Venture Capital,24.31,14.27,4.23,2,18,10,6,2,15,2,22
964,Amplitude Ventures,20,,1,158.05,,Early Stage VC,120.00,83.00,Venture Capital,20,16,10,5,14,3,165.23,Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology,Venture Capital,165.23,165.23,165.23,,20,16,9,5,14,3,20
965,Amzak Health,24,,,199.50,,Early Stage VC,,19.00,Venture Capital,14,10,3,,8,17,,Healthcare Devices and Supplies,Healthcare Services,Venture Capital,,,,,14,9,1,,8,17,24
966,Anagenesis Capital Partners,,,1,97.50,,,,,,,,,,,,97.51,Consumer Products and Services (B2C),Healthcare,Lender/Debt Provider,97.51,97.51,97.51,1,,,,,,,
967,Andre Agassi Foundation for Education,2,,,88.84,,Early Stage VC,16.00,3.00,Venture Capital,1,1,1,,2,,,Software,,Limited Partner,,,,,1,,,,2,,2
968,Andrew Black,6,,,20.00,,Angel (individual),,1.38,Individual,2,1,1,1,2,3,,Pharmaceuticals and Biotechnology,Software,Angel (individual),,,,,2,,,,2,3,6
969,Angeli Parvi,5,,,1.43,,Later Stage VC,33.80,7.60,Venture Capital,,,,,,4,,Commercial Transportation,Energy Services,Angel Group,,,,,,,,,,4,5
970,Angell Foundation,1,,,142.52,,Grant,,0.15,Other,,,,,1,,,Commercial Services,Media,Other,,,,,,,,,,,1
971,Ann Arbor SPARK,160,,2,4.05,1.62,Grant,,0.10,Other,16,6,4,2,68,80,,Healthcare,IT Services,Accelerator/Incubator,13.00,13.00,13.00,2,16,6,3,,68,80,160
972,Anthem Venture Partners,121,,2,150.00,,Later Stage VC,308.28,60.00,Venture Capital,18,3,2,2,22,58,,Communications and Networking,Computer Hardware,Venture Capital,150.00,150.00,150.00,2,18,3,2,,22,58,121
973,Anthony Lacavera,4,,,7.00,,Seed Round,,1.10,Venture Capital,,,,,2,1,,Software,,Angel (individual),,,,,,,,,2,1,4
974,Anthony Pritzker Family Foundation,1,,,158.00,,Grant,,0.40,Other,,,,,1,,,,,Limited Partner,,,,,,,,,1,,1
975,APEXVentures,50,,2,22.00,1.78,Seed Round,34.40,4.40,Venture Capital,42,22,14,6,33,6,11.11,Healthcare Devices and Supplies,Healthcare Technology Systems,Venture Capital,11.84,11.47,11.11,2,42,19,13,4,33,6,50
976,Aphelion Capital,58,,3,52.50,8.73,Later Stage VC,180.00,100.00,Venture Capital,20,10,5,2,18,23,30,Healthcare Devices and Supplies,Healthcare Services,Venture Capital,30.00,26.25,22.50,3,20,9,4,,18,23,58
977,Apollo Alternative Assets,,,1,16.64,0.00,IPO,,87.99,Public Investment,,,,,,,1900,Commercial Banks,,Asset Manager,"1,900.00","1,900.00","1,900.00",,,,,,,,
978,Apollo Health Ventures,10,,2,200.00,,Seed Round,68.36,24.58,Venture Capital,10,6,6,3,9,,180,Healthcare Devices and Supplies,Healthcare Services,Venture Capital,180.00,100.00,20.00,2,10,6,6,2,9,,10
979,Appalachian State University Foundation,1,,,199.37,,Grant,,,Other,,,,,1,,,Commercial Products,Commercial Services,Limited Partner,,,,,,,,,,,1
980,Appletree Capital,6,,4,35.00,4.57,Seed Round,13.81,5.51,Venture Capital,,,,,3,2,4.56,Consume,Non-Durables,Fundless Sponsor,25.00,5.00,4.56,4,1,,,,3,2,6
981,Applied Ventures,126,,2,250.00,,PIPE,,275.00,Private Equity,36,20,9,2,30,49,,Computer Hardware,Energy Equipment,Corporate Venture Capital,250.00,250.00,250.00,2,35,19,9,,30,49,126
982,aPriori Capital Partners,340,,14,35.03,352.43,Buyout/LBO,614.81,614.81,Private Equity,8,,,,1,159,1530,Commercial Products,Commercial Services,PE/Buyout,"5,400.00",916.00,7.93,14,8,,,,,159,340
983,Arago Capital,,,1,150.00,120.00,,,,,,,,,,,150,,,PE/Buyout,150.00,150.00,150.00,1,,,,,,,
984,Arbel Growth Partners,4,,1,1.85,0.44,Seed Round,,2.17,Venture Capital,2,,,,2,2,1.85,Consume,Non-Durables,PE/Buyout,1.85,1.85,1.85,,2,,,,2,2,4
