investor_id,investment_num,total_funds_open,total_funds_closed,AUM,dry_powder,last_investment_type,last_investment_valuation,last_investment_size,last_investment_class,investments_last_5_yrs,investments_last_2_yrs,investments_last_12_months,investments_last_6_months,active_porfolio,exits,last_closed_fund_size,preferred_industry,max_fund_size,median_fund_size,min_fund_size,fund_closed_num,total_investments_last_5_yrs,total_investments_last_2_yrs,total_investments_last_12_months,total_investments_last_6_months,total _active_portfolio,total_exits,total_investments,primary_investor_type
550,,1,,250.00,249.39,,,,,,,,,,,,Private Equity,,250.00,,,,,,,,,,Real Estate
551,25,1,4,164.00,118.09,Early Stage VC,50.00,10.00,Venture Capital,20,4,,,12,,169,"Agriculture, Healthcare Technology Systems, Sohware",169.00,50.53,25.00,4,19,4,2,,12,5,25,Venture Capital
552,,1,,81.78,,,,,,,,,,,,,,,,,,,,,,,,,Asset Manager
553,45,1,2,150.00,15.98,Later Stage VC,307.00,57.00,Venture Capital,45,32,18,8,21,15,22.99,"Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Other Healthcare, Other Info,",22.99,18.49,14.00,2,45,32,11,7,21,15,45,Corporate Venture Capital
554,61,1,3,175.00,85.00,Seed Round,10.26,3.26,Venture Capital,31,11,7,,24,14,35.3,"Healthcare, Software",35.30,35.30,20.25,3,28,11,6,3,24,14,61,Venture Capital
555,,1,,161.00,119.73,,,,,,,,,,,161,,161.00,161.00,161.00,,,,,,,,,Secondary Buyer
556,,1,,133.55,,,,,,,,,,,,,,,,,,,,,,,,,Hedge fund
557,18,1,1,100.00,162.48,PIPE,,168.50,Corporate,17,10,4,1,13,3,100,"Healthcare Services, Healthcare Technology Systems, Medical Supplies, Other Devices and Supplies, Other Healthcare",100.00,101.00,100.00,1,17,10,3,,13,3,18, Venture Capital
558,97,1,5,170.00,44.08,Early Stage VC,,34.00,Venture Capital,41,26,16,9,28,31,102.52,"Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Other Healthcare, Pharmaceu",102.52,16.00,2.40,5,41,25,15,6,28,31,97,Venture Capital
559,211,1,5,185.50,32.12,Seed Round,,10.00,Venture Capital,102,50,25,9,96,70,15,"Other Information Technology, Software",45.00,30.25,15.00,5,101,45,20,6,96,70,211,Venture Capital
560,3,1,,26.12,26.12,Early Stage VC,160.00,16.08,Venture Capital,3,2,,,,,,"Healthcare, Software",,26.12,,,3,1,,,2,,3,Venture Capital
561,21,1,2,3.40,4.55,Early Stage VC,"2,400.00",370.11,Venture Capital,16,4,,,16,2,10.5,Software,10.50,6.50,2.51,2,14,3,2,,16,2,21,Angel Group
562,28,1,1,70.00,13.73,Later Stage VC,30.00,10.00,Venture Capital,27,18,15,12,19,3,35,Software,35.00,35.00,35.00,1,27,18,14,8,19,3,28,Venture Capital
563,218,1,5,117.70,64.56,Seed Round,,4.00,Venture Capital,204,76,47,22,144,23,110,"Other Information Technology, Software",110.00,25.25,14.70,5,198,74,39,19,144,23,218,Venture Capital
564,2,1,,50.00,,Seed Round,,2.90,Venture Capital,2,2,,,,,,"Communication Soft,.•,are, Consumer Finance, Educational Software, Financial Software, Other Financial Services, Oth",,,,,2,2,2,,2,,2,Venture Capital
565,32,1,,80.65,14.01,Seed Round,,7.75,Venture Capital,31,18,10,7,22,2,80.65,,80.65,80.65,80.65,,30,18,8,5,22,2,32,Venture Capital
566,280,1,4,63.22,77.00,Seed Round,,3.71,Venture Capital,118,51,27,11,130,87,16.34,"Aerospace and Defense, Biotechnology, Communications and Networking, Computer Hardware, Diagnostic Equipmen",45.84,16.34,6.89,4,114,50,22,7,130,87,280,Venture Capital
567,,1,,4.50,13.28,,,,,,,,,,,,"Energy, Industrial Supplies and Parts, Other Commercial Products, Other Materials",,13.28,,,,,,,,,,Hedge fund
568,,1,,130.95,,,,,,,,,,,,,Oil and Gas Equipment,,,,,,,,,,,,Hedge Fund
569,79,1,3,91.00,28.62,Early Stage VC,45.00,10.00,Venture Capital,41,20,15,,26,25,65,"Application Software, Communication Sofcware, Database Software, Educational Software, Entertainment Software, F",65.00,18.00,7.50,3,41,20,13,5,26,25,79,"
Venture Capital"
570,71,1,,75.00,,Later Stage VC,205.50,41.50,Venture Capital,47,23,13,7,53,13,,"Healthcare Devices and Supplies, Pharmaceuticals and Biotechnology",,,,1,47,20,11,5,53,13,71,Venture Capital
571,2,1,2,144.10,,Early Stage VC,,10.00,Venture Capital,2,2,,,,,67.3,,76.76,72.03,67.30,2,2,2,2,2,2,,2,Hedge fund
572,5,1,,100.00,114.40,Seed Round,12.30,3.30,Venture Capital,4,4,4,,,,,"Healthcare Technology Systems, Pharmaceuticals and Biotechnology",,114.40,,,4,4,4,2,5,,5,Venture Capital
573,17,1,,10.00,10.00,Early Stage VC,30.00,12.50,Venture Capital,14,10,6,,13,2,,Healthcare,,10.00,,,14,10,6,2,13,2,17,Venture Capital
574,,1,,169.80,49.60,,,,,,,,,,,189.77,"Buildings and Property, Other Commercial Services, Real Estate Services (82C)",189.77,119.68,189.77,,,,,,,,,Real Estate
575,29,1,,10.00,30.47,Early Stage VC,40.96,13.96,Venture Capital,24,9,4,,18,2,10,Software,10.00,19.31,10.00,,24,9,3,3,18,2,29,Venture Capital
576,145,1,3,142.00,89.12,Early Stage VC,,20.57,Venture Capital,118,54,32,17,94,19,100.3,"Computer Hardware, Real Estate Services (B2C), Software",100.30,40.00,2.00,3,115,50,30,12,94,19,145,Venture Capital
577,,1,,226.79,225.61,,,,,,,,,,,,,,225.61,,,,,,,,,,Hedge Fund
578,20,1,,5.00,5.00,Seed Round,,2.10,Venture Capital,18,18,10,7,19,,,"Business Products and Services (B2B), Consumer Products and Services (B2C), Financial Services",,5.00,,,18,17,9,5,19,,20,Venture Capital
579,3,1,3,78.00,,Corporate Asset Purchase,61.50,61.50,Corporate,,,,,,4,,,78.00,78.00,78.00,3,,,,,,4,3,Real Estate
580,50,1,3,4.05,1.05,Later Stage VC,55.00,20.00,Venture Capital,26,7,,,19,13,2,Software,2.05,2.00,2.00,3,23,7,,,19,13,50,Angel Group
581,37,1,,0.34,0.00,Seed Round,15.05,8.00,Venture Capital,18,,,,17,8,3.25,"Consumer Durables, Software",3.25,3.25,3.25,,18,5,,,17,8,37,Accelerator/Incubator
582,55,1,3,156.88,145.66,Later Stage VC,,14.52,Venture Capital,36,15,9,4,21,13,93.27,"Financial Services, Software",93.27,60.94,12.30,3,36,14,8,3,21,13,55,Venture Capital
583,63,1,2,79.03,39.51,Seed Round,,1.65,Venture Capital,41,12,8,4,23,11,25.86,"Business/Productivity Software, Commercial Services, Internet Retail, Other lnformaii:ion Technology",25.86,25.86,15.34,2,39,12,8,3,23,11,63,Venture Capital
584,40,1,,200.00,120.39,Seed Round,,12.00,Venture Capital,36,15,9,,22,8,100,Software,100.00,100.00,100.00,,36,14,8,2,22,8,40,Venture Capital
585,,1,,60.00,31.55,,,,,,,,,,,,"Consumer Finance, Specialized Finance",,31.55,,,,,,,,,,Family Office
586,54,1,2,120.00,16.72,Early Stage VC,310.00,70.00,Venture Capital,33,15,9,7,34,9,64,"Business Products and Services (B2B), Consumer Products and Services (B2C), Healthcare, IT Services, Software",64.00,44.50,25.00,2,33,15,8,6,34,9,54,Venture Capital
587,102,1,2,130.00,15.81,Seed Round,,10.00,Venture Capital,51,23,16,6,53,23,35,"Financial Services, Healthcare, Services (Non-Financial)",35.00,29.38,23.75,2,49,23,14,5,53,23,102,Venture Capital
588,1,1,12,158.70,104.19,Joint Venture,,,Corporate,,,,,,,8.58,,152.17,13.50,3.50,12,,,,,,,,Real Estate
589,16,1,,165.00,72.67,Buyout/LBO,,,Private Equity,9,,,,9,,165,"Beverages, Distributors/Wholesale, Environmemal Ser.,ices (B2B), Food Produei:s, Heal,rhcare Devices and Supplies, L",165.00,93.38,165.00,,9,3,2,,9,5,16,PE/Buyout
590,35,1,4,217.00,95.39,Later Stage VC,80.63,23.44,Venture Capital,22,9,6,4,12,7,35.43,"Financial Services, Healthcare, ITServices, Media and Information Services (B2B), Other Business Products and Servic",67.19,41.87,8.15,4,22,8,6,3,12,7,35,Venture Capital
591,45,1,22,8.00,1.32,Early Stage VC,26.00,11.00,Venture Capital,21,14,10,,23,16,,"Commercial Services, Software",8.00,8.00,8.00,22,21,14,9,3,23,16,45,Venture Capital
592,30,1,3,83.32,35.97,Later Stage VC,196.95,36.95,Venture Capital,11,6,6,,11,6,43.31,"Healthcare Devices and Supplies, Other Healthcare, Software",43.31,27.17,13.92,3,11,6,5,,11,6,30,Venture Capital
593,26,1,,100.00,49.94,Later Stage VC,,,Corporate,19,13,6,,24,2,,Software,,49.94,,,19,12,5,4,24,2,26,Corporate Venture Capital
594,13,1,,3.80,,Early Stage VC,,1.83,Venture Capital,13,,,,10,2,,"Chemicals and Gases, Pharmaceuticals and Biotechnology",,,,,13,5,,,10,2,13,Venture Capital
595,10,1,,0.50,19.24,Later Stage VC,50.00,10.00,Venture Capital,9,8,,,7,2,,"Business/Productivity Software, Commercial Services, Enterprise Systems (Healthcare), Internet Software, ITSer.iices,",,19.24,,,9,6,3,3,7,2,10,Growth/Expansion
596,13,1,2,58.00,0.00,Early Stage VC,4.08,1.00,Venture Capital,,,,,,10,50,"Commercial Services, Media, Software",50.00,29.00,8.00,2,,,,,,10,13,Venture Capital
597,103,1,4,89.00,20.21,Later Stage VC,,22.00,Venture Capital,24,8,4,,17,57,68,"Education and Training Services (B2B), Educational and Training Services (B2C), Healthcare, ITServices, Software",68.00,20.50,20.00,4,23,7,4,2,17,57,103,Venture Capital
598,,1,,97.10,97.27,,,,,,,,,,,,,,97.27,,,,,,,,,,Hedge Fund
599,,1,3,98.00,33.53,,,,,,,,,,,36.28,"Environmental Services (B2B), Services (Non-Financial)",36.28,21.24,15.30,3,,,,,,,,Impact Investing
600,41,1,2,93.49,0.12,Later Stage VC,,25.00,Venture Capital,2,,,,,21,115.09,"Cable Service Providers, Connectivity Products, Internet Software, IT Services, Other Communications and Necworkin",115.09,87.67,60.26,2,2,2,2,,3,21,41,Venture Capital
601,45,1,,40.00,27.00,Seed Round,1.07,0.45,Venture Capital,15,,,,22,17,92,"Healthcare Devices and Supplies, Pharmaceuticals and Biotechnology",92.00,59.50,92.00,,15,4,2,,22,17,45,Venture Capital
602,20,1,,58.70,51.39,Early Stage VC,,9.50,Venture Capital,19,13,10,,14,3,,"Business Products and Services (B2B), Consumer Products and Services (82C), Healthcare Devices and Supplies, Soft""A",,51.39,,,19,11,9,3,14,3,20,Venture Capital
603,33,1,1,120.00,120.00,Later Stage VC,775.25,60.00,Venture Capital,27,8,4,,14,9,120,"Information Services (B2C), Social Content, Software",120.00,120.00,120.00,1,27,7,4,,14,9,33,Growth/Expansion
604,,1,2,84.50,37.56,Buyout/LBO,,,Private Equity,,,,,,,,"Asset Management, Real Estate Investment Trusts (REITs), Real Estate Services (B2C)",25.00,30.00,25.00,2,,,1,,,,,Asset Manager
605,32,1,,135.00,99.53,Later Stage VC,,18.28,Venture Capital,29,15,9,4,18,,55.6,Software,55.60,70.30,55.60,,29,14,9,3,18,5,32,Corporate Venture Capital
606,7,1,,43.46,43.72,Later Stage VC,,43.00,Venture Capital,7,7,7,,7,,,"Energy, Software",,43.72,,,7,7,7,6,7,,7,Venture Capital
607,18,1,,30.00,30.00,Seed Round,,3.50,Venture Capital,18,17,10,4,17,1,,"Business Products and Services (B2B), Consumer Products and Services (82C), Financial Services, Healthcare, lnforma",,30.00,,,18,17,9,4,17,1,18,Venture Capital
608,29,1,,79.10,,Later Stage VC,,34.02,Venture Capital,19,11,7,,18,3,81.85,"Commercial Transponation, Construction and Engineering, Electrical Equipment, Energy, Financial Services, Healthca",81.85,81.85,81.85,,19,11,6,1,18,3,29,Impact Investing
609,19,1,,68.57,72.00,Seed Round,,3.60,Venture Capital,19,16,12,7,14,3,,"Financial Services, Other Commercial Services, Software",,72.00,,,19,16,11,6,14,3,19,Venture Capital
610,6,1,,100.00,100.00,Seed Round,,0.60,Venture Capital,,,,,6,,,"Business Products and Services (B2B), Other Information Technology, Software",,100.00,,,5,5,5,,6,,6,Venture Capital
611,6,1,,100.45,13.47,Early Stage VC,593.00,150.00,Venture Capital,3,,,,3,3,,Software,,13.47,,,3,,,,3,3,6,Family Office
612,38,1,,11.00,4.40,Seed Round,,5.80,Venture Capital,34,30,14,8,33,2,11,"Business Products and Services (B2B), Consumer Finance, Educational and Training Services (82C), Energy, Other Fin",11.00,11.00,11.00,,34,28,14,3,33,2,38,Venture Capital
613,2,1,,38.15,3.88,Later Stage VC,230.00,60.00,Venture Capital,2,,,,,,,,,3.88,,,2,,,,2,,2,Corporation
614,20,1,,100.00,78.44,Seed Round,,,Venture Capital,17,15,6,4,20,,100,"Consume, Products and Services (B2C), Energy, Financial Services, Healthcare Devices and Supplies, Healthcare Servi",100.00,100.00,100.00,,17,15,6,,20,,20,Venture Capital
615,4,1,,81.94,0.41,Buyout/LBO,,,Private Equity,,,,,,3,31.13,,31.13,31.13,31.13,,,,,,,3,4,Secondary Buyer
616,513,1,,200.00,,Later Stage VC,,32.00,Venture Capital,178,47,36,21,245,93,,Software,300.00,300.00,300.00,,173,44,30,16,245,93,513,Impact Investing
617,2,1,2,249.00,,Later Stage VC,,202.00,Venture Capital,,,,,,2,6.5,Software,6.50,4.27,2.05,2,,,,1,,2,2,Secondary Buyer
618,55,1,,75.00,32.90,Early Stage VC,,34.00,Venture Capital,54,37,26,15,34,,38,Software,38.00,28.00,38.00,,54,34,24,12,34,,55,Venture Capital
619,,1,,55.80,,,,,,,,,,,,,Financial Services,,,,,,,,,,,,Hedge Fund
620,57,1,,80.85,,Seed Round,90.00,30.00,Venture Capital,18,10,,,27,28,,"Pharmaceuticals and Biotechnology, Software",38.37,38.37,38.37,,18,9,5,3,27,28,57,Venture Capital
621,58,1,,50.00,19.61,Early Stage VC,,24.40,Venture Capital,55,41,25,9,43,2,50,"Other Business Products and Services, Other Information Technology, Software",50.00,50.00,50.00,,55,40,18,8,43,2,58,Venture Capital
622,18,1,,50.00,50.00,Early Stage VC,,,Venture Capital,,,,,,17,,"BPO/Outsource Services, Business/Productivity Software, Capital Markets/Institutions, Commercial Banks, Consumer",,50.00,,,,,,,1,17,18,PE/Buyout
623,98,1,18,110.00,25.23,Later Stage VC,784.91,84.91,Venture Capital,40,15,6,,37,36,10.23,"Education and Training Services (B2B), Educational and Training Services (B2C), Energy, Healthcare, Media and Inform",15.75,6.88,0.28,18,38,12,5,2,37,36,98,Venture Capital
624,55,1,,100.00,20.55,Later Stage VC,116.00,33.00,Venture Capital,22,2,,,30,13,100,"Energy Equipment, Healthcare Technology Systems, Other Healthcare, Pharmaceuticals and Biotechnology",100.00,100.00,100.00,,22,2,,,30,13,55,Venture Capital
625,32,1,2,250.00,29.42,Later Stage VC,50.00,14.00,Venture Capital,27,12,6,,17,10,75,"Healthcare Devices and Supplies, Healthcare Technology Systems",75.00,75.00,75.00,2,27,11,5,,17,10,32,Corporate Venture Capital
626,58,1,2,140.00,,Early Stage VC,,15.00,Venture Capital,52,9,6,,47,10,,"Apparel and Accessories, Building Products, Construction and Engineering, Education and Training Services (B2B), Fin",,,,2,52,7,6,2,47,10,58,Venture Capital
627,,1,3,216.00,135.00,PIPE,,7.50,Corporate,,,,,,,,"Other Consume, Products and Services, Other Healthcare, Other Information Technology, Retail",,135.00,,3,,,,,,,,Hedge Fund
628,,1,7,248.67,17.26,,,,,,,,,,,7.25,,16.88,4.96,0.15,7,,,,,,,,Asset Manager
629,144,1,,46.15,,Later Stage VC,,,Venture Capital,137,61,28,13,100,,43.98,"Beverages, Biotechnology, Communications and Networking, Computer Hardware, Energy, Food Products, Human Ca",43.98,43.98,43.98,,137,57,22,8,100,5,144,Venture Capital
630,4,1,,25.00,,Seed Round,77.40,17.40,Venture Capital,4,4,,,,,,"Consume, Durables, Consumer Non-Durables, Healthcare Technology Systems, Other Consumer Products and Servic",,,,,4,4,3,2,3,,4,Venture Capital
631,73,1,4,169.11,150.00,Later Stage VC,79.31,9.31,Venture Capital,28,13,6,,18,17,70.4,"Energy, Healthcare, Materials and Resources",70.40,60.00,10.00,4,27,13,3,2,18,17,73,Venture Capital
632,8,1,,24.20,22.00,Early Stage VC,,7.50,Venture Capital,8,1,1,,6,,54,Software,,22.00,,,8,,,,6,,8,Venture Capital
633,,1,,184.00,56.00,Seed Round,,1.45,Venture Capital,1,,,,1,,,"Healthcare Technology Systems, Software",54.00,64.00,54.00,,,,,,,,,PE/Buyout
634,,1,,178.00,25.00,,,,,,,,,,,,,,25.00,,,,,,,,,,Hedge Fund
635,,1,,15.00,15.00,,,,,,,,,,,,"Asset Management, Other Capital Markets/Institutions",,15.00,,,,,,,,,,Asset Manager
636,27,1,,40.00,50.00,Later Stage VC,,20.00,Venture Capital,9,,4,,9,10,50,"Business Products and Services (B2B), Consumer Products and Services (82C), Information Technology",50.00,50.00,50.00,,9,5,2,,9,10,27,Corporate Venture Capital
637,,1,,243.00,,,,,,,,,,,,,Real Estate Services (82C),88.09,88.09,88.09,,,,,,,,,Real Estate
638,,1,,4.50,,,,,,,,,,,,,,,,,,,,,,,,,Hedge Fund
639,21,1,2,100.00,,Later Stage VC,,20.00,Venture Capital,15,6,,,12,8,20.45,"Commercial Products, Electronic Equipment and Instruments, Healthcare Devices and Supplies, Healthcare Services,",118.54,69.49,20.45,2,15,5,3,,12,8,21,"
Venture Capital"
640,,1,,54.60,15.00,,,,,,,,,,,,,,15.00,,,,,,,,,,Hedge fund
641,66,1,3,248.90,65.14,Later Stage VC,31.00,10.00,Venture Capital,34,18,11,4,31,25,108.65,"Agriculture, Apparel and Accessories, Business Products and Services (B2B), Chemicals and Gases, Communications a",108.65,65.75,63.50,3,33,17,8,3,31,25,66,Venture Capital
642,53,1,8,141.70,67.70,Seed Round,,3.00,Venture Capital,39,20,13,8,23,7,,"Commercial Transportation, Consumer Products and Services (B2C), Financial Services, Healthcare, Software",80.00,25.00,3.06,8,38,19,11,6,23,7,53,Venture Capital
643,,1,,75.90,,,,,,,,,,,,,,,,,,,,,,,,,Hedge Fund
644,,1,,102.82,,Buyout/LBO,272.78,272.78,Private Equity,,,,,,,,Financial Services,,,,,,,,,,,,Hedge fund
645,113,1,,20.00,4.14,Early Stage VC,199.25,29.25,Venture Capital,98,53,24,17,95,11,20,"Consumer Produces and Services (B2C), Financial Services, Other Information Technology, Software",20.00,20.00,20.00,,98,47,23,13,95,11,113,Venture Capital
646,22,1,,10.00,10.00,Seed Round,,13.00,Venture Capital,21,21,20,10,20,,,"Business Products and Services (B2B), Consumer Products and Services (B2C), Other Information Technology, Softwa",,10.00,,,21,21,17,5,20,,22,Venture Capital
647,29,1,,42.50,95.97,Seed Round,,10.00,Venture Capital,27,16,11,,25,2,42.5,"Services (Non-Financial), Software",42.50,60.90,42.50,,27,16,8,2,25,2,29,Venture Capital
648,35,1,,60.00,,Early Stage VC,70.00,20.00,Venture Capital,32,13,7,4,21,,,"Agriculture, Automotive, Healthcare, Information Technology, Security Services (B2B)",,,,,31,12,6,3,21,5,35,Venture Capital
649,75,1,3,45.00,0.40,PE Grovvth/Expansion,,,Private Equity,56,24,13,,50,21,10,"Apparel and Accessories, Business Produces and Services (82B), Consumer Durables, Consumer Non-Durables, Media",10.00,10.00,10.00,3,56,22,10,3,50,21,75,Venture Capital
650,84,1,4,150.00,18.00,Later Stage VC,,7.00,Venture Capital,23,,4,,23,35,70.7,"IT Services, Software",70.70,51.00,25.00,4,20,5,4,2,23,35,84,Venture Capital
651,209,1,3,24.76,9.96,Seed Round,,,Venture Capital,102,43,24,15,82,54,13.97,"Apparel and Accessories, Food Products, Healthcare Technology Systems, Sofware",13.97,7.37,3.06,3,100,41,20,10,82,54,209,Venture Capital
652,19,1,,75.00,75.00,Later Stage VC,,4.00,Venture Capital,19,10,4,,10,,,"Communications and Neworking, Computer Hardware, Movies, Music and Entertainment, Other Information Techm",,75.00,,,19,9,4,,10,3,19,Venture Capital
653,1,1,,88.40,45.95,Merger/Acquisition,,,Corporate,,,,,,,63.4,"Asset Management, Business Products and Services (B2B)",63.40,54.68,63.40,,,,,,,,1,Real Estate
654,7,1,,10.10,7.92,Later Stage VC,225.00,30.00,Venture Capital,6,,,,6,,10,"Agriculture, Consumer Non•Durables, Other Consumer Products and Services, Retail",10.00,7.00,10.00,,5,,,,6,,7,Venture Capital
655,5,1,,227.87,81.80,Buyout/LBO,,,Private Equity,3,2,2,,,,,Information Technology,,81.80,,,3,2,2,,2,,5,Hedge fund
656,2,1,,75.00,75.00,Early Stage VC,29.20,9.20,Venture Capital,2,,,,,,,"Apparel and Accessories, Beverages, Commercial Products, Commercial Services, Healthcare Services, Other Busine",,75.00,,,2,,,,2,,2,Growth/Expansion
657,21,1,1,7.60,2.16,Seed Round,30.05,5.05,Venture Capital,19,18,11,,20,,1.6,"Clinics/Outpatient Services, Information Services (B2C), Information Technology, Movies, Music and Entertainment,",1.60,1.45,1.60,1,19,17,8,2,20,1,21,Venture Capital
658,34,1,2,145.00,95.45,Early Stage VC,,14.71,Venture Capital,17,11,7,4,16,8,65,Software,80.00,65.00,65.00,2,17,11,7,4,16,8,34,Venture Capital
659,39,1,2,75.00,59.53,Later Stage VC,,8.00,Venture Capital,4,2,,,12,18,50,"Government, Healthcare, Logistics, Other Commercial Services",50.00,50.00,25.00,2,4,2,,,12,18,39,Mezzanine
660,,1,,21.34,,Early Stage VC,,,Venture Capital,1,,,,,,,,,,,,,,,,,,,Hedge Fund
661,129,1,2,50.00,7.36,Early Stage VC,,,Venture Capital,58,46,23,9,95,28,50,"Food Products, Insurance, Logistics, Movies, Music and Entertainment, Other Media, Other Restaurants, Hotels and",50.00,28.68,50.00,2,58,46,14,8,95,28,129,Venture Capital
662,10,1,,1.72,1.77,Seed Round,3.49,0.35,Venture Capital,10,8,6,,10,,,"Aerospace and Defense, Alternative Energy Equipment, Building Products, Communications and Neworking, Compu",,1.77,,,10,8,6,1,10,,10,Venture Capital
663,28,1,,50.00,75.00,Later Stage VC,39.67,21.67,Venture Capital,26,25,17,9,25,,25,"Biotechnology, Information Technology",25.00,50.00,25.00,,26,25,14,7,25,,28,Venture Capital
664,25,1,,50.00,36.00,Seed Round,,5.40,Venture Capital,22,16,14,11,20,,80,"IT Services, Sofware",80.00,80.00,80.00,,22,16,14,10,20,,25,Venture Capital
665,,1,,104.29,,PIPE,,10.28,Corporate,1,1,1,1,1,,,,,,,,,1,1,,,,,Hedge fund
666,17,1,,10.00,2.07,Seed Round,,10.00,Venture Capital,15,8,4,,14,,10,Software,10.00,10.00,10.00,,15,8,3,,14,,17,Venture Capital
667,5,1,,25.00,20.00,Buyout/LBO,14.00,14.00,Private Equity,2,2,2,,,,,"Agriculture, Commercial Products, Private Equity, Real Estate lnvestmem Trusts (REITs), Real Estate Services (B2C)",,20.00,,,2,2,2,2,2,2,5,Venture Capital
668,18,1,2,65.70,57.74,Later Stage VC,,,Venture Capital,4,2,,,11,7,67.02,"Software, Transportation",67.02,67.02,67.02,2,4,,,,11,7,18,Accelerator/Incubator
669,35,1,2,250.00,66.96,Later Stage VC,166.15,16.15,Venture Capital,14,4,,,10,12,158.85,"Commercial Products, Commercial Services, Computer Hardware, Software",158.85,106.93,55.00,2,13,4,3,2,10,12,35,Venture Capital
670,11,1,,128.34,58.50,Later Stage VC,,120.00,Venture Capital,11,,3,,9,,116.69,"Media, Software",116.69,87.59,116.69,,11,4,3,,9,1,11,Venture Capital
671,,1,,99.94,,,,,,,,,,,,,,,,,,,,,,,,,Hedge fund
672,5,1,,50.00,12.93,Early Stage VC,189.20,37.00,Venture Capital,,4,,,,,,"Environmental Services (B2B), Healthcare, Other Financial Services, Software",,12.93,,,5,4,3,3,5,,5,Impact Investing
673,88,1,2,172.49,0.00,Buyout/LBO,,,Private Equity,44,17,7,,54,21,78.61,"Capital Markets/Institutions, Commercial Products, Commercial Services, Healthcare Services, Healthcare Technolog",78.61,48.75,18.88,2,44,17,5,,54,21,88,PE/Buyout
674,14,1,,3.95,,Early Stage VC,,3.00,Venture Capital,9,,3,,10,2,,"Business Products and Services (B2B), Healthcare",,,,,9,5,3,2,10,2,14,Venture Capital
675,,1,3,142.10,92.52,,,,,,,,,,,,,250.00,52.59,50.00,3,,,,,,,,Lender/Debt Provider
676,22,1,3,22.00,82.74,Early Stage VC,20.56,6.95,Venture Capital,16,7,4,,14,2,30.87,"Agriculture, Chemicals and Gases, Other Materials",40.66,35.77,3.00,3,15,7,3,,14,2,22,Venture Capital
677,25,1,2,35.56,94.83,Early Stage VC,,5.18,Venture Capital,19,11,4,,16,7,23.68,"Commercial Services, Consumer Durables, Consumer Non-Durables, Internet Service Providers, Media, Sofrware",23.68,23.68,10.60,2,18,11,4,,16,7,25,Venture Capital
678,97,1,3,57.00,2.45,Later Stage VC,141.00,16.00,Venture Capital,18,,,,8,51,,"Commercial Services, Software",31.00,28.50,26.00,3,16,1,,,8,51,97,Venture Capital
679,29,1,2,25.00,10.00,Seed Round,,3.22,Venture Capital,29,15,10,,17,2,10,Software,10.00,10.00,10.00,2,28,15,9,4,17,2,29,Venture Capital
680,4,1,2,64.00,86.39,Later Stage VC,231.00,111.00,Venture Capital,3,2,,,,3,0.1,Pharmaceuticals and Biotechnology,64.00,61.22,0.10,2,3,2,1,,,3,4,Investment Bank
681,20,1,,40.00,,Later Stage VC,,,Venture Capital,18,13,6,,13,4,,"Communications and Networking, Other Information Technology, Software",,,,,18,13,5,4,13,4,20,Venture Capital
682,69,1,2,140.10,64.49,Early Stage VC,,22.00,Venture Capital,45,24,14,,46,14,100,"Biotechnology, Business Products and Services (B2B), Consumer Products and Services (B2C), Financial Services, Heal",100.00,70.07,40.14,2,43,24,10,4,46,14,69,Venture Capital
683,,1,,63.60,52.40,,,,,,,,,,,,,,52.40,,,,,,,,,,Hedge Fund
684,83,1,2,150.00,22.80,Later Stage VC,100.50,34.00,Venture Capital,58,35,24,13,42,10,76.73,"Computer Hardware, Software",76.73,54.07,31.42,2,58,34,22,9,42,10,83,Venture Capital
685,7,1,,75.00,3.38,Early Stage VC,278.49,58.49,Venture Capital,,,,,4,,,"Financial Services, Software",54.00,28.69,54.00,,5,3,2,,4,,7,Venture Capital
686,,1,,178.48,7.15,,,,,,,,,,,,,,7.15,,,,,,,,,,Hedge fund
687,24,1,,50.00,93.91,Buyout/LBO,,,Private Equity,22,13,9,,15,7,50,"Apparel and Accessories, Beverages, Casinos and Gaming, Consumer Durables, Food Products, Leisure Facilities, Oth",50.00,62.15,50.00,,22,13,8,5,15,7,24,Venture Capital
688,106,1,,20.00,47.26,Seed Round,16.25,4.75,Venture Capital,100,60,33,19,78,8,20,"Commercial Services, Software",20.00,31.79,20.00,,100,58,29,12,78,8,106,Venture Capital
689,1,1,,160.00,,Later Stage VC,,60.00,Venture Capital,,,,,,,,,,,,,1,,,,,,,Impact Investing
690,49,1,,16.00,0.80,Early Stage VC,20.86,5.86,Venture Capital,43,18,16,12,32,7,5,"Business Products and Services (B2B), Consumer Products and Services (82C), Financial Services, Healthcare Services",5.00,5.00,5.00,,42,18,16,9,32,7,49,Venture Capital
691,,1,,14.00,11.00,,,,,,,,,,,,,,11.00,,,,,,,,,,Hedge fund
692,26,1,6,1.43,4.85,Later Stage VC,520.00,36.24,Venture Capital,4,1,,,,19,4.22,Software,30.00,3.10,0.40,6,4,1,,,3,19,26,Venture Capital
693,2,1,,173.47,30.00,Early Stage VC,,1.00,Venture Capital,2,2,,,,,,,,30.00,,,2,2,,,2,,2,Other
694,45,1,2,203.16,7.12,Later Stage VC,,16.85,Venture Capital,26,9,,,14,26,87.5,,87.50,44.70,1.90,2,25,9,4,2,14,26,45,Venture Capital
